ID_Libro,Fecha_Creacion,Titulo,Paginas,Tema_Principal,Tags,Nivel_Tendencia_Mercado,Herramientas_AFAP,Precio_Venta
AF-044,2025-12-15 20:47:09,Guía de Crecimiento Personal Vol. 93,55,Crecimiento Personal,"motivación, autoestima, resiliencia, cambio",7.3,4,10.92
CB-045,2025-06-04 06:47:09,Guía de Crecimiento Personal Vol. 42,56,Crecimiento Personal,"psicología, resiliencia, motivación, cambio",9.3,4,15.35
CB-046,2026-03-07 19:47:09,Guía de Finanzas Personales Vol. 7,61,Finanzas Personales,"ahorro, libertad financiera, presupuesto",9.8,3,17.28
CB-047,2025-06-20 20:47:09,Guía de Crecimiento Personal Vol. 86,53,Crecimiento Personal,"motivación, cambio, psicología, resiliencia, autoestima",7.5,5,15.78
AF-048,2026-03-10 22:47:09,Guía de Productividad Vol. 75,50,Productividad,"metas, tiempo, disciplina, enfoque",7.6,5,11.68
CB-049,2025-11-25 06:47:09,Guía de Liderazgo Vol. 88,53,Liderazgo,"oficina, empatía, management, comunicación, equipos",7.2,5,14.38
CB-050,2025-12-18 04:47:09,Guía de Liderazgo Vol. 82,64,Liderazgo,"equipos, management, estrategia, empatía, comunicación",8.8,5,18.25
AF-051,2025-11-04 01:47:09,Guía de Finanzas Personales Vol. 35,60,Finanzas Personales,"ahorro, dinero, inversión",7.7,4,12.99
CB-052,2025-09-12 08:47:09,Guía de Liderazgo Vol. 24,65,Liderazgo,"empatía, estrategia, comunicación",7.8,5,17.8
CB-053,2025-05-01 17:47:09,Guía de Ansiedad Vol. 11,57,Ansiedad,"respiración, salud, mindfulness, paz mental, calma",8.9,4,15.75
AF-054,2025-10-21 13:47:09,Guía de Crecimiento Personal Vol. 89,57,Crecimiento Personal,"resiliencia, psicología, motivación, cambio",8.3,5,13.15
AF-055,2025-07-26 21:47:09,Guía de Liderazgo Vol. 33,57,Liderazgo,"estrategia, equipos, empatía",7.4,5,13.5
CB-056,2026-01-21 19:47:09,Guía de Crecimiento Personal Vol. 36,59,Crecimiento Personal,"motivación, psicología, autoestima",8.1,4,14.88
AF-057,2025-05-19 23:47:09,Guía de Productividad Vol. 71,59,Productividad,"mañana, tiempo, hábitos, metas, disciplina",8.4,4,12.68
AF-058,2025-06-05 22:47:09,Guía de Crecimiento Personal Vol. 15,52,Crecimiento Personal,"cambio, autoestima, psicología, resiliencia",7.5,5,12.55
CB-059,2025-06-12 21:47:09,Guía de Crecimiento Personal Vol. 78,57,Crecimiento Personal,"cambio, resiliencia, motivación, psicología, autoestima",7.9,5,14.97
AF-060,2026-02-22 06:47:09,Guía de Liderazgo Vol. 85,52,Liderazgo,"equipos, estrategia, oficina",7.5,4,11.05
AF-061,2025-07-08 23:47:09,Guía de Ansiedad Vol. 37,59,Ansiedad,"respiración, estrés, mindfulness, salud, calma",8.3,5,12.9
AF-062,2025-11-15 23:47:09,Guía de Productividad Vol. 8,55,Productividad,"metas, disciplina, enfoque, mañana",7.4,5,11.81
AF-063,2026-02-12 09:47:09,Guía de Crecimiento Personal Vol. 57,52,Crecimiento Personal,"autoestima, cambio, psicología, motivación, resiliencia",7.1,3,11.37
AF-064,2025-12-03 11:47:09,Guía de Liderazgo Vol. 74,51,Liderazgo,"management, comunicación, estrategia",9.7,3,12.54
AF-065,2025-11-15 08:47:09,Guía de Productividad Vol. 61,61,Productividad,"enfoque, disciplina, hábitos, tiempo",8.0,5,13.69
CB-066,2025-07-29 07:47:09,Guía de Productividad Vol. 41,58,Productividad,"hábitos, tiempo, disciplina, enfoque",9.6,4,16.23
AF-067,2025-12-27 18:47:09,Guía de Crecimiento Personal Vol. 81,64,Crecimiento Personal,"motivación, psicología, cambio",7.4,4,13.38
CB-068,2025-06-23 11:47:09,Guía de Finanzas Personales Vol. 31,55,Finanzas Personales,"libertad financiera, ahorro, dinero, inversión",7.3,3,14.07
AF-069,2026-02-24 07:47:09,Guía de Crecimiento Personal Vol. 92,59,Crecimiento Personal,"psicología, cambio, motivación, resiliencia, autoestima",8.4,3,12.27
AF-070,2026-02-14 12:47:09,Guía de Ansiedad Vol. 9,58,Ansiedad,"paz mental, calma, salud, estrés",7.8,4,13.17
AF-071,2025-08-24 09:47:09,Guía de Ansiedad Vol. 58,65,Ansiedad,"paz mental, calma, respiración, mindfulness",9.8,3,15.36
AF-072,2026-02-20 01:47:09,Guía de Crecimiento Personal Vol. 6,60,Crecimiento Personal,"cambio, resiliencia, motivación, autoestima, psicología",9.9,3,13.45
AF-073,2025-09-06 01:47:09,Guía de Crecimiento Personal Vol. 13,64,Crecimiento Personal,"motivación, cambio, psicología",9.9,3,14.19
AF-074,2025-08-22 11:47:09,Guía de Crecimiento Personal Vol. 84,52,Crecimiento Personal,"resiliencia, cambio, motivación, psicología",9.6,3,11.93
AF-075,2025-05-22 00:47:09,Guía de Liderazgo Vol. 30,52,Liderazgo,"oficina, estrategia, management, comunicación",9.1,3,10.54
AF-076,2025-08-25 06:47:09,Guía de Crecimiento Personal Vol. 19,57,Crecimiento Personal,"cambio, motivación, autoestima, psicología, resiliencia",8.8,4,13.04
AF-077,2026-01-27 20:47:09,Guía de Ansiedad Vol. 30,64,Ansiedad,"paz mental, respiración, salud, calma, estrés",9.7,4,15.45
CB-078,2025-11-05 09:47:09,Guía de Liderazgo Vol. 76,59,Liderazgo,"management, empatía, estrategia, equipos, oficina",10.0,4,16.01
AF-079,2025-05-19 10:47:09,Guía de Liderazgo Vol. 90,59,Liderazgo,"estrategia, management, empatía",7.0,5,13.36
AF-080,2025-07-03 11:47:09,Guía de Liderazgo Vol. 100,57,Liderazgo,"empatía, equipos, comunicación, estrategia, management",9.0,5,13.93
CB-081,2025-11-21 20:47:09,Guía de Productividad Vol. 40,64,Productividad,"metas, enfoque, mañana",7.3,4,16.1
CB-082,2025-12-18 17:47:09,Guía de Finanzas Personales Vol. 47,58,Finanzas Personales,"dinero, presupuesto, inversión",9.2,4,16.81
CB-083,2025-09-05 09:47:09,Guía de Ansiedad Vol. 87,62,Ansiedad,"paz mental, estrés, respiración, calma, mindfulness",8.6,4,16.44
AF-084,2025-12-17 13:47:09,Guía de Liderazgo Vol. 14,57,Liderazgo,"oficina, comunicación, empatía, management",7.7,3,12.02
AF-085,2025-07-02 03:47:09,Guía de Crecimiento Personal Vol. 15,54,Crecimiento Personal,"autoestima, psicología, motivación",7.3,3,11.72
AF-086,2025-10-29 21:47:09,Guía de Finanzas Personales Vol. 54,54,Finanzas Personales,"ahorro, presupuesto, dinero, inversión",9.8,4,11.77
AF-087,2025-12-11 17:47:09,Guía de Ansiedad Vol. 47,53,Ansiedad,"paz mental, calma, salud, estrés, mindfulness",7.8,3,11.9
AF-088,2025-08-11 22:47:09,Guía de Finanzas Personales Vol. 3,51,Finanzas Personales,"inversión, libertad financiera, dinero, ahorro",7.2,5,10.71
AF-089,2025-10-23 22:47:09,Guía de Ansiedad Vol. 77,50,Ansiedad,"mindfulness, salud, paz mental, estrés",7.3,3,9.41
AF-090,2025-10-26 07:47:09,Guía de Productividad Vol. 23,58,Productividad,"mañana, tiempo, hábitos",9.2,4,13.1
AF-091,2025-06-18 06:47:09,Guía de Crecimiento Personal Vol. 65,57,Crecimiento Personal,"autoestima, psicología, motivación, resiliencia, cambio",10.0,4,13.25
AF-092,2025-10-07 03:47:09,Guía de Crecimiento Personal Vol. 10,52,Crecimiento Personal,"resiliencia, motivación, autoestima, psicología",7.8,5,11.97
AF-093,2025-12-12 03:47:09,Guía de Finanzas Personales Vol. 38,64,Finanzas Personales,"libertad financiera, presupuesto, ahorro, dinero, inversión",8.3,3,13.28
AF-094,2025-06-05 17:47:09,Guía de Productividad Vol. 41,63,Productividad,"disciplina, enfoque, metas, hábitos",9.1,4,13.28
AF-095,2025-11-26 14:47:09,Guía de Liderazgo Vol. 17,51,Liderazgo,"comunicación, estrategia, empatía, management, oficina",8.2,5,12.68
CB-096,2025-10-20 08:47:09,Guía de Liderazgo Vol. 77,59,Liderazgo,"oficina, comunicación, equipos, estrategia",9.0,3,16.49
AF-097,2025-07-24 23:47:09,Guía de Liderazgo Vol. 74,57,Liderazgo,"comunicación, estrategia, oficina, empatía",9.8,5,13.33
AF-098,2025-05-08 17:47:09,Guía de Liderazgo Vol. 44,61,Liderazgo,"equipos, estrategia, management",7.2,5,13.57
AF-099,2025-05-19 19:47:09,Guía de Ansiedad Vol. 49,63,Ansiedad,"paz mental, mindfulness, salud, calma",9.2,5,14.89
CB-100,2025-06-21 02:47:09,Guía de Finanzas Personales Vol. 7,52,Finanzas Personales,"presupuesto, libertad financiera, inversión, dinero",8.2,3,14.51
AF-101,2025-09-24 21:47:09,Guía de Liderazgo Vol. 87,65,Liderazgo,"estrategia, empatía, oficina, management, equipos",10.0,3,13.52
AF-102,2025-08-19 07:47:09,Guía de Liderazgo Vol. 38,60,Liderazgo,"oficina, management, comunicación",7.5,4,12.82
AF-103,2025-11-17 13:47:09,Guía de Liderazgo Vol. 10,62,Liderazgo,"oficina, management, estrategia, equipos, comunicación",9.6,5,14.56
AF-104,2025-06-16 22:47:09,Guía de Liderazgo Vol. 15,62,Liderazgo,"empatía, equipos, management",9.5,4,13.33
AF-105,2025-06-21 07:47:09,Guía de Crecimiento Personal Vol. 68,52,Crecimiento Personal,"psicología, resiliencia, autoestima, motivación",9.3,3,11.57
AF-106,2026-03-24 17:47:09,Guía de Liderazgo Vol. 45,54,Liderazgo,"oficina, equipos, empatía",7.6,5,11.41
CB-107,2025-09-25 23:47:09,Guía de Crecimiento Personal Vol. 60,64,Crecimiento Personal,"resiliencia, psicología, cambio, motivación, autoestima",8.3,4,16.83
AF-108,2025-06-09 10:47:09,Guía de Liderazgo Vol. 65,52,Liderazgo,"management, estrategia, oficina, comunicación",8.1,4,10.6
AF-109,2025-10-16 13:47:09,Guía de Crecimiento Personal Vol. 60,51,Crecimiento Personal,"resiliencia, motivación, cambio, psicología",8.5,3,10.85
CB-110,2025-10-14 12:47:09,Guía de Ansiedad Vol. 6,57,Ansiedad,"respiración, salud, mindfulness, calma, paz mental",9.8,4,16.12
AF-111,2026-02-25 19:47:09,Guía de Liderazgo Vol. 9,60,Liderazgo,"comunicación, management, empatía",7.8,5,14.33
AF-112,2025-10-08 19:47:09,Guía de Finanzas Personales Vol. 85,54,Finanzas Personales,"dinero, presupuesto, ahorro, libertad financiera",7.9,4,12.04
AF-113,2025-12-27 21:47:09,Guía de Finanzas Personales Vol. 12,63,Finanzas Personales,"dinero, ahorro, inversión, libertad financiera, presupuesto",9.9,4,15.45
CB-114,2025-11-01 19:47:09,Guía de Ansiedad Vol. 20,52,Ansiedad,"estrés, calma, salud, paz mental",8.0,5,14.16
CB-115,2025-12-08 22:47:09,Guía de Finanzas Personales Vol. 22,64,Finanzas Personales,"presupuesto, dinero, libertad financiera",9.2,4,17.62
AF-116,2025-11-23 20:47:09,Guía de Liderazgo Vol. 61,56,Liderazgo,"estrategia, comunicación, management, equipos",9.3,4,12.86
AF-117,2025-06-26 00:47:09,Guía de Finanzas Personales Vol. 18,58,Finanzas Personales,"presupuesto, dinero, libertad financiera",9.8,5,14.69
CB-118,2025-11-12 07:47:09,Guía de Ansiedad Vol. 35,64,Ansiedad,"mindfulness, respiración, estrés, calma, salud",9.7,3,16.98
AF-119,2025-07-06 19:47:09,Guía de Crecimiento Personal Vol. 11,61,Crecimiento Personal,"autoestima, psicología, resiliencia",9.5,5,14.12
CB-120,2026-01-29 14:47:09,Guía de Crecimiento Personal Vol. 90,54,Crecimiento Personal,"cambio, resiliencia, psicología, autoestima, motivación",7.1,3,14.52
AF-121,2025-12-13 17:47:09,Guía de Crecimiento Personal Vol. 15,59,Crecimiento Personal,"psicología, autoestima, cambio",7.7,5,13.74
CB-122,2026-02-10 04:47:09,Guía de Crecimiento Personal Vol. 77,50,Crecimiento Personal,"resiliencia, motivación, psicología, autoestima, cambio",8.3,5,14.36
CB-123,2025-11-08 02:47:09,Guía de Productividad Vol. 68,61,Productividad,"metas, disciplina, hábitos",8.2,4,15.39
AF-124,2026-03-18 20:47:09,Guía de Productividad Vol. 46,52,Productividad,"mañana, hábitos, enfoque, metas",7.1,5,11.13
AF-125,2025-05-15 01:47:09,Guía de Crecimiento Personal Vol. 90,65,Crecimiento Personal,"motivación, resiliencia, autoestima, cambio, psicología",7.9,3,14.03
AF-126,2025-10-09 23:47:09,Guía de Finanzas Personales Vol. 51,65,Finanzas Personales,"ahorro, inversión, presupuesto, dinero",9.6,3,15.03
CB-127,2026-01-13 23:47:09,Guía de Liderazgo Vol. 56,62,Liderazgo,"management, estrategia, empatía, oficina, equipos",9.1,4,17.8
AF-128,2026-02-26 13:47:09,Guía de Crecimiento Personal Vol. 11,63,Crecimiento Personal,"motivación, psicología, resiliencia, autoestima, cambio",8.0,4,13.21
AF-129,2026-03-16 03:47:09,Guía de Crecimiento Personal Vol. 45,64,Crecimiento Personal,"psicología, cambio, motivación",8.9,3,12.9
AF-130,2025-11-06 09:47:09,Guía de Ansiedad Vol. 4,54,Ansiedad,"salud, respiración, estrés, calma, paz mental",7.7,5,11.88
CB-131,2026-03-21 23:47:09,Guía de Ansiedad Vol. 87,64,Ansiedad,"paz mental, respiración, estrés, salud",7.4,4,16.3
CB-132,2026-03-03 00:47:09,Guía de Productividad Vol. 4,55,Productividad,"metas, tiempo, hábitos, mañana",9.3,5,16.04
AF-133,2025-10-04 12:47:09,Guía de Crecimiento Personal Vol. 26,53,Crecimiento Personal,"autoestima, cambio, resiliencia",9.7,4,13.44
AF-134,2025-08-23 06:47:09,Guía de Productividad Vol. 71,59,Productividad,"mañana, disciplina, enfoque, tiempo",7.7,3,12.73
CB-135,2025-12-25 07:47:09,Guía de Finanzas Personales Vol. 74,61,Finanzas Personales,"libertad financiera, inversión, dinero, ahorro",7.2,4,16.8
AF-136,2026-01-31 11:47:09,Guía de Crecimiento Personal Vol. 74,52,Crecimiento Personal,"psicología, autoestima, motivación",8.4,5,11.79
AF-137,2025-08-17 02:47:09,Guía de Ansiedad Vol. 56,51,Ansiedad,"calma, mindfulness, paz mental",7.5,4,11.82
AF-138,2025-07-19 09:47:09,Guía de Finanzas Personales Vol. 37,52,Finanzas Personales,"inversión, dinero, ahorro, libertad financiera",8.8,3,11.31
AF-139,2026-03-16 15:47:09,Guía de Ansiedad Vol. 22,60,Ansiedad,"estrés, salud, calma, respiración, mindfulness",9.0,5,13.83
AF-140,2025-11-22 06:47:09,Guía de Finanzas Personales Vol. 38,59,Finanzas Personales,"inversión, presupuesto, libertad financiera, dinero",7.2,3,11.22
AF-141,2025-06-17 01:47:09,Guía de Liderazgo Vol. 78,54,Liderazgo,"estrategia, empatía, comunicación, equipos",7.4,4,11.53
CB-142,2025-11-23 22:47:09,Guía de Productividad Vol. 35,64,Productividad,"mañana, hábitos, metas",7.9,4,17.48
AF-143,2025-06-09 03:47:09,Guía de Ansiedad Vol. 42,60,Ansiedad,"mindfulness, respiración, calma",8.5,4,13.24
AF-144,2025-09-17 08:47:09,Guía de Ansiedad Vol. 28,61,Ansiedad,"estrés, paz mental, respiración",8.8,5,14.45
CB-145,2025-08-01 02:47:09,Guía de Productividad Vol. 56,54,Productividad,"disciplina, enfoque, tiempo, mañana",7.1,3,13.99
AF-146,2025-10-27 19:47:09,Guía de Productividad Vol. 50,64,Productividad,"enfoque, metas, hábitos, tiempo, disciplina",8.2,4,14.02
CB-147,2025-07-09 10:47:09,Guía de Finanzas Personales Vol. 52,51,Finanzas Personales,"ahorro, inversión, dinero",8.0,4,14.24
AF-148,2026-01-21 06:47:09,Guía de Ansiedad Vol. 42,60,Ansiedad,"respiración, calma, paz mental",8.8,5,14.56
AF-149,2026-03-11 15:47:09,Guía de Liderazgo Vol. 61,50,Liderazgo,"empatía, oficina, management, estrategia",7.9,5,12.19
AF-150,2026-02-11 13:47:09,Guía de Liderazgo Vol. 84,57,Liderazgo,"oficina, comunicación, management, estrategia, equipos",7.4,5,12.08
CB-151,2025-05-25 13:47:09,Guía de Productividad Vol. 57,60,Productividad,"mañana, tiempo, disciplina, metas",8.5,5,17.59
CB-152,2025-10-22 12:47:09,Guía de Ansiedad Vol. 72,60,Ansiedad,"respiración, calma, salud, mindfulness, estrés",8.4,5,16.38
AF-153,2025-08-08 13:47:09,Guía de Liderazgo Vol. 79,65,Liderazgo,"equipos, empatía, comunicación",7.7,4,14.39
AF-154,2025-07-07 00:47:09,Guía de Liderazgo Vol. 62,61,Liderazgo,"estrategia, empatía, comunicación, oficina, equipos",9.7,4,14.69
CB-155,2025-06-18 10:47:09,Guía de Productividad Vol. 45,64,Productividad,"enfoque, tiempo, mañana, hábitos, metas",9.8,5,17.74
AF-156,2025-07-02 15:47:09,Guía de Ansiedad Vol. 32,51,Ansiedad,"calma, mindfulness, salud, estrés, paz mental",8.2,5,11.74
AF-157,2025-06-08 11:47:09,Guía de Ansiedad Vol. 53,65,Ansiedad,"salud, mindfulness, paz mental, calma",7.9,3,14.27
AF-158,2025-07-28 14:47:09,Guía de Finanzas Personales Vol. 95,51,Finanzas Personales,"presupuesto, inversión, ahorro",10.0,4,12.78
AF-159,2025-12-31 19:47:09,Guía de Liderazgo Vol. 5,50,Liderazgo,"comunicación, estrategia, oficina, equipos",7.9,5,11.54
AF-160,2025-05-01 14:47:09,Guía de Crecimiento Personal Vol. 35,56,Crecimiento Personal,"psicología, motivación, resiliencia",8.4,4,12.84
AF-161,2025-06-10 20:47:09,Guía de Liderazgo Vol. 73,56,Liderazgo,"comunicación, management, estrategia",8.5,3,11.75
AF-162,2025-09-25 09:47:09,Guía de Crecimiento Personal Vol. 42,57,Crecimiento Personal,"psicología, cambio, autoestima",8.3,4,13.46
AF-163,2025-09-30 13:47:09,Guía de Productividad Vol. 34,61,Productividad,"mañana, hábitos, metas, disciplina, enfoque",7.5,5,13.46
CB-164,2026-01-30 06:47:09,Guía de Liderazgo Vol. 48,57,Liderazgo,"equipos, management, estrategia",8.4,5,15.85
AF-165,2026-01-29 07:47:09,Guía de Ansiedad Vol. 98,57,Ansiedad,"calma, estrés, respiración, paz mental, mindfulness",7.2,5,11.72
CB-166,2026-01-10 05:47:09,Guía de Finanzas Personales Vol. 20,55,Finanzas Personales,"libertad financiera, presupuesto, ahorro, dinero",9.2,4,14.78
AF-167,2025-11-11 23:47:09,Guía de Crecimiento Personal Vol. 17,63,Crecimiento Personal,"resiliencia, autoestima, psicología, motivación",9.0,4,14.55
AF-168,2025-05-29 06:47:09,Guía de Ansiedad Vol. 75,52,Ansiedad,"respiración, paz mental, estrés",8.6,3,12.07
CB-169,2026-01-24 19:47:09,Guía de Crecimiento Personal Vol. 24,54,Crecimiento Personal,"cambio, psicología, motivación, resiliencia, autoestima",8.1,5,16.28
AF-170,2025-12-17 12:47:09,Guía de Liderazgo Vol. 16,55,Liderazgo,"management, comunicación, equipos, empatía, oficina",9.5,3,13.21
AF-171,2025-06-19 16:47:09,Guía de Crecimiento Personal Vol. 69,62,Crecimiento Personal,"motivación, cambio, resiliencia",7.5,3,13.52
AF-172,2025-05-17 22:47:09,Guía de Crecimiento Personal Vol. 79,50,Crecimiento Personal,"motivación, autoestima, cambio",8.8,4,11.6
AF-173,2026-02-13 10:47:09,Guía de Crecimiento Personal Vol. 57,57,Crecimiento Personal,"motivación, autoestima, cambio, resiliencia, psicología",9.4,5,13.75
AF-174,2026-02-20 14:47:09,Guía de Liderazgo Vol. 31,59,Liderazgo,"estrategia, comunicación, equipos",8.2,4,12.02
AF-175,2025-09-24 03:47:09,Guía de Crecimiento Personal Vol. 72,65,Crecimiento Personal,"psicología, cambio, resiliencia",8.0,4,13.82
CB-176,2025-11-23 08:47:09,Guía de Finanzas Personales Vol. 61,57,Finanzas Personales,"dinero, inversión, presupuesto",9.7,5,16.58
AF-177,2025-07-29 16:47:09,Guía de Crecimiento Personal Vol. 32,58,Crecimiento Personal,"psicología, autoestima, motivación",9.5,3,12.92
AF-178,2025-04-30 21:47:09,Guía de Finanzas Personales Vol. 78,51,Finanzas Personales,"inversión, libertad financiera, presupuesto",7.6,4,10.61
AF-179,2025-09-15 03:47:09,Guía de Productividad Vol. 96,65,Productividad,"disciplina, metas, mañana",8.2,3,13.7
AF-180,2025-10-03 21:47:09,Guía de Liderazgo Vol. 40,58,Liderazgo,"comunicación, management, estrategia, oficina",9.4,5,13.74
AF-181,2026-02-08 22:47:09,Guía de Crecimiento Personal Vol. 6,57,Crecimiento Personal,"motivación, autoestima, resiliencia, psicología, cambio",7.5,4,11.61
AF-182,2025-07-27 08:47:09,Guía de Liderazgo Vol. 33,65,Liderazgo,"estrategia, management, comunicación, oficina, equipos",7.5,5,14.34
AF-183,2025-07-09 15:47:09,Guía de Productividad Vol. 68,51,Productividad,"disciplina, hábitos, metas",8.2,5,11.26
CB-184,2025-05-02 07:47:09,Guía de Crecimiento Personal Vol. 48,51,Crecimiento Personal,"resiliencia, cambio, psicología, motivación, autoestima",7.0,5,14.02
AF-185,2025-10-21 23:47:09,Guía de Finanzas Personales Vol. 37,50,Finanzas Personales,"presupuesto, inversión, ahorro, dinero, libertad financiera",7.7,5,11.4
AF-186,2026-03-21 16:47:09,Guía de Productividad Vol. 48,62,Productividad,"metas, mañana, disciplina, tiempo",9.1,3,13.76
CB-187,2025-10-10 09:47:09,Guía de Crecimiento Personal Vol. 49,65,Crecimiento Personal,"autoestima, motivación, resiliencia",8.5,4,17.54
